trust_code,trust_name,total_attendances,within_4hrs,source_file,compliance_pct
QNQ,NHS Frimley Integrated Care Board,35644.0,24216.0,October-2024-AE-by-provider-gAzJa-revised.xls,67.94
QR1,NHS Gloucestershire Integrated Care Board,21469.0,16221.0,October-2024-AE-by-provider-gAzJa-revised.xls,75.56
QOP,NHS Greater Manchester Integrated Care Board,128734.0,85562.0,October-2024-AE-by-provider-gAzJa-revised.xls,66.46
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,67110.0,48794.0,October-2024-AE-by-provider-gAzJa-revised.xls,72.71
QE1,NHS Lancashire And South Cumbria Integrated Care Board,75974.0,58171.0,October-2024-AE-by-provider-gAzJa-revised.xls,76.57
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,26853.0,17533.0,October-2024-AE-by-provider-gAzJa-revised.xls,65.29
QM7,NHS Hertfordshire And West Essex Integrated Care Board,48551.0,34661.0,October-2024-AE-by-provider-gAzJa-revised.xls,71.39
QOQ,NHS Humber And North Yorkshire Integrated Care Board,65779.0,46397.0,October-2024-AE-by-provider-gAzJa-revised.xls,70.53
QJ2,NHS Derby And Derbyshire Integrated Care Board,55785.0,41279.0,October-2024-AE-by-provider-gAzJa-revised.xls,74.0
QKS,NHS Kent And Medway Integrated Care Board,101435.0,83334.0,October-2024-AE-by-provider-gAzJa-revised.xls,82.16
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",38159.0,28329.0,October-2024-AE-by-provider-gAzJa-revised.xls,74.24
QJM,NHS Lincolnshire Integrated Care Board,29040.0,21200.0,October-2024-AE-by-provider-gAzJa-revised.xls,73.0
QH8,NHS Mid And South Essex Integrated Care Board,36858.0,25932.0,October-2024-AE-by-provider-gAzJa-revised.xls,70.36
QMM,NHS Norfolk And Waveney Integrated Care Board,37949.0,27643.0,October-2024-AE-by-provider-gAzJa-revised.xls,72.84
QMJ,NHS North Central London Integrated Care Board,71891.0,53313.0,October-2024-AE-by-provider-gAzJa-revised.xls,74.16
QRV,NHS North West London Integrated Care Board,105957.0,82542.0,October-2024-AE-by-provider-gAzJa-revised.xls,77.9
